Company,Site,Country,Zone,Report_Year,Capacity_MW,LoadFactor_assumed_percent,Est_Annual_MWh,Grid_CO2_g_per_kWh,Est_CO2_t,CO2_Method,Provisional_Intensity,Source_URL,Intensity_Source_URL
Bitdeer (BTDR),Tydal (Norway) – Phase 1,Norway,,2024,40.0,92.0,322368.0,,,eGRID_2022_total_output_rate,False,https://ir.bitdeer.com/news-releases/news-release-details/bitdeer-announces-august-2024-production-and-operations-update,
Bitdeer (BTDR),"Knoxville, TN (USA)",USA,,2024,86.0,92.0,693091.2000000001,423.236414769119,293341.43459602643,eGRID_2022_total_output_rate,False,https://ir.bitdeer.com/static-files/f800b7a1-b61d-4d07-97d0-fc903800eb6e,
Bitdeer (BTDR),"Rockdale, TX (USA)",USA,,2024,563.0,92.0,4537329.600000001,349.760954368139,1586980.7311788066,eGRID_2022_total_output_rate,False,https://ir.bitdeer.com/news-releases/news-release-details/bitdeer-reports-unaudited-financial-results-fourth-quarter-and,
Bitfarms (BITF),Argentina (Rio Cuarto),Argentina,Argentina grid (CAMMESA),2024,54.0,92.0,435196.8000000001,485.0,211070.4480000001,Unspecified,False,https://d1io3yog0oux5.cloudfront.net/_3d1e77a7fc59ce0cfc38767cbf3e45f3/bitfarms/db/862/8422/pdf/BITF.02.01.24Preso.Final.pdf,https://ageera.com.ar/wp-content/uploads/2023/01/Informe-Mensual_diciembre-2022.pdf
Bitfarms (BITF),"Baie-Comeau, QC (Canada)",Canada,Hydro-Québec (QC),2024,11.0,92.0,88651.2,1.2,106.38143999999998,Regional_proxy_official/peer_refs,False,https://d1io3yog0oux5.cloudfront.net/_3d1e77a7fc59ce0cfc38767cbf3e45f3/bitfarms/db/862/8422/pdf/BITF.02.01.24Preso.Final.pdf,https://publications.gc.ca/collections/collection_2024/eccc/En84-294-2024-eng.pdf
Bitfarms (BITF),"Cowansville, QC (Canada)",Canada,Hydro-Québec (QC),2024,17.0,92.0,137006.4,1.2,164.40768,Regional_proxy_official/peer_refs,False,https://d1io3yog0oux5.cloudfront.net/_3d1e77a7fc59ce0cfc38767cbf3e45f3/bitfarms/db/862/8422/pdf/BITF.02.01.24Preso.Final.pdf,https://publications.gc.ca/collections/collection_2024/eccc/En84-294-2024-eng.pdf
Bitfarms (BITF),"Farnham, QC (Canada)",Canada,Hydro-Québec (QC),2024,10.0,92.0,80592.0,1.2,96.7104,Regional_proxy_official/peer_refs,False,https://d1io3yog0oux5.cloudfront.net/_3d1e77a7fc59ce0cfc38767cbf3e45f3/bitfarms/db/862/8422/pdf/BITF.02.01.24Preso.Final.pdf,https://publications.gc.ca/collections/collection_2024/eccc/En84-294-2024-eng.pdf
Bitfarms (BITF),"Magog, QC (Canada)",Canada,Hydro-Québec (QC),2024,10.0,92.0,80592.0,1.2,96.7104,Regional_proxy_official/peer_refs,False,https://d1io3yog0oux5.cloudfront.net/_3d1e77a7fc59ce0cfc38767cbf3e45f3/bitfarms/db/862/8422/pdf/BITF.02.01.24Preso.Final.pdf,https://publications.gc.ca/collections/collection_2024/eccc/En84-294-2024-eng.pdf
Bitfarms (BITF),"Sherbrooke Campus (3 farms), QC (Canada)",Canada,Hydro-Québec (QC),2024,96.0,92.0,773683.2000000001,1.2,928.41984,Regional_proxy_official/peer_refs,False,https://d1io3yog0oux5.cloudfront.net/_3d1e77a7fc59ce0cfc38767cbf3e45f3/bitfarms/db/862/8422/pdf/BITF.02.01.24Preso.Final.pdf,https://publications.gc.ca/collections/collection_2024/eccc/En84-294-2024-eng.pdf
Bitfarms (BITF),"St. Hyacinthe, QC (Canada)",Canada,Hydro-Québec (QC),2024,14.0,92.0,112828.8,1.2,135.39455999999998,Regional_proxy_official/peer_refs,False,https://d1io3yog0oux5.cloudfront.net/_3d1e77a7fc59ce0cfc38767cbf3e45f3/bitfarms/db/862/8422/pdf/BITF.02.01.24Preso.Final.pdf,https://publications.gc.ca/collections/collection_2024/eccc/En84-294-2024-eng.pdf
